"player_id","round_number","round_outcome","opponent_id"
1,1,"W",39
1,2,"W",21
1,3,"W",18
1,4,"W",14
1,5,"W",7
1,6,"D",12
1,7,"D",4
2,1,"W",63
2,2,"W",58
2,3,"L",4
2,4,"W",17
2,5,"W",16
2,6,"W",20
2,7,"W",7
3,1,"L",8
3,2,"W",61
3,3,"W",25
3,4,"W",21
3,5,"W",11
3,6,"W",13
3,7,"W",12
4,1,"W",23
4,2,"D",28
4,3,"W",2
4,4,"W",26
4,5,"D",5
4,6,"W",19
4,7,"D",1
5,1,"W",45
5,2,"W",37
5,3,"D",12
5,4,"D",13
5,5,"D",4
5,6,"W",14
5,7,"W",17
6,1,"W",34
6,2,"D",29
6,3,"L",11
6,4,"W",35
6,5,"D",10
6,6,"W",27
6,7,"W",21
7,1,"W",57
7,2,"W",46
7,3,"W",13
7,4,"W",11
7,5,"L",1
7,6,"W",9
7,7,"L",2
8,1,"W",3
8,2,"W",32
8,3,"L",14
8,4,"L",9
8,5,"W",47
8,6,"W",28
8,7,"W",19
9,1,"W",25
9,2,"L",18
9,3,"W",59
9,4,"W",8
9,5,"W",26
9,6,"L",7
9,7,"W",20
10,1,"D",16
10,2,"L",19
10,3,"W",55
10,4,"W",31
10,5,"D",6
10,6,"W",25
10,7,"W",18
11,1,"D",38
11,2,"W",56
11,3,"W",6
11,4,"L",7
11,5,"L",3
11,6,"W",34
11,7,"W",26
12,1,"W",42
12,2,"W",33
12,3,"D",5
12,4,"W",38
12,5,"H",NA
12,6,"D",1
12,7,"L",3
13,1,"W",36
13,2,"W",27
13,3,"L",7
13,4,"D",5
13,5,"W",33
13,6,"L",3
13,7,"W",32
14,1,"W",54
14,2,"W",44
14,3,"W",8
14,4,"L",1
14,5,"D",27
14,6,"L",5
14,7,"W",31
15,1,"D",19
15,2,"L",16
15,3,"W",30
15,4,"L",22
15,5,"W",54
15,6,"W",33
15,7,"W",38
16,1,"D",10
16,2,"W",15
16,3,"H",NA
16,4,"W",39
16,5,"L",2
16,6,"W",36
16,7,"U",NA
17,1,"W",48
17,2,"W",41
17,3,"L",26
17,4,"L",2
17,5,"W",23
17,6,"W",22
17,7,"L",5
18,1,"W",47
18,2,"W",9
18,3,"L",1
18,4,"W",32
18,5,"L",19
18,6,"W",38
18,7,"L",10
19,1,"D",15
19,2,"W",10
19,3,"W",52
19,4,"D",28
19,5,"W",18
19,6,"L",4
19,7,"L",8
20,1,"L",40
20,2,"W",49
20,3,"W",23
20,4,"W",41
20,5,"W",28
20,6,"L",2
20,7,"L",9
21,1,"W",43
21,2,"L",1
21,3,"W",47
21,4,"L",3
21,5,"W",40
21,6,"W",39
21,7,"L",6
22,1,"W",64
22,2,"D",52
22,3,"L",28
22,4,"W",15
22,5,"H",NA
22,6,"L",17
22,7,"W",40
23,1,"L",4
23,2,"W",43
23,3,"L",20
23,4,"W",58
23,5,"L",17
23,6,"W",37
23,7,"W",46
24,1,"L",28
24,2,"L",47
24,3,"W",43
24,4,"L",25
24,5,"W",60
24,6,"W",44
24,7,"W",39
25,1,"L",9
25,2,"W",53
25,3,"L",3
25,4,"W",24
25,5,"D",34
25,6,"L",10
25,7,"W",47
26,1,"W",49
26,2,"W",40
26,3,"W",17
26,4,"L",4
26,5,"L",9
26,6,"D",32
26,7,"L",11
27,1,"W",51
27,2,"L",13
27,3,"W",46
27,4,"W",37
27,5,"D",14
27,6,"L",6
27,7,"U",NA
28,1,"W",24
28,2,"D",4
28,3,"W",22
28,4,"D",19
28,5,"L",20
28,6,"L",8
28,7,"D",36
29,1,"W",50
29,2,"D",6
29,3,"L",38
29,4,"L",34
29,5,"W",52
29,6,"W",48
29,7,"U",NA
30,1,"L",52
30,2,"D",64
30,3,"L",15
30,4,"W",55
30,5,"L",31
