State,Coal,Natural Gas,Crude Oil,Nuclear,Biofules,Wood and waste,Other,Total
Alabama,262.10,101.80,21.70,441.30,1.60,172.90,38.10,1039.50
Alaska,15.50,414.20,907.20,0.00,0.00,7.70,6.60,1351.10
Arizona,0.00,0.20,0.00,333.10,0.00,9.40,64.90,407.60
Arkansas,0.00,425.60,25.30,149.40,6.20,67.80,16.00,690.20
California,0.00,155.30,708.90,183.50,36.80,123.10,383.30,1591.00
Colorado,268.10,2251.00,910.30,0.00,20.60,16.70,76.20,3542.80
Connecticut,0.00,0.00,0.00,171.70,2.90,18.20,7.10,199.90
Delaware,0.00,0.00,0.00,0.00,0.00,1.60,1.20,2.80
District of Columbia,0.00,0.00,0.00,0.00,0.00,1.00,0.70,1.70
Florida,0.00,1.10,6.90,320.90,0.00,148.80,85.60,563.30
Georgia,0.00,0.00,0.00,355.40,0.40,236.80,36.50,629.10
Hawaii,0.00,0.00,0.00,0.00,0.70,4.60,11.70,16.90
Idaho,0.00,2.70,0.20,0.00,8.80,35.10,41.10,87.90
Illinois,802.40,2.10,39.40,1031.10,223.70,16.60,93.40,2208.70
Indiana,532.40,4.00,9.60,0.00,175.00,31.70,44.80,797.50
Iowa,0.00,0.00,0.00,0.00,588.30,19.40,163.30,771.00
Kansas,0.00,173.10,160.10,93.70,91.70,6.70,102.90,628.20
Kentucky,686.90,97.20,12.80,0.00,11.00,38.80,18.70,865.40
Louisiana,4.60,4182.50,207.40,168.60,102.40,114.50,6.70,4786.80
Maine,0.00,0.00,0.00,0.00,0.00,73.40,22.60,96.00
Maryland,34.50,0.00,0.00,154.50,0.00,12.20,15.30,216.40
Massachusetts,0.00,0.00,0.00,0.00,0.10,29.00,23.20,52.20
Michigan,0.00,74.70,26.00,271.30,46.70,98.00,45.40,562.10
Minnesota,0.00,0.00,0.00,153.30,187.50,56.90,63.30,461.00
Mississippi,35.10,29.30,72.00,89.70,3.90,55.20,2.80,287.90
Missouri,1.50,0.00,0.40,92.60,67.40,22.40,33.10,217.30
Montana,505.20,42.60,117.00,0.00,1.40,16.10,48.10,730.50
Nebraska,0.00,0.30,8.50,58.60,274.90,4.20,48.30,394.70
Nevada,0.00,0.00,1.20,0.00,0.00,3.10,58.30,62.70
New Hampshire,0.00,0.00,0.00,113.90,0.60,27.00,6.70,148.20
New Jersey,0.00,0.00,0.00,295.30,0.00,14.90,18.40,328.60
New Mexico,195.20,3120.80,3295.80,0.00,6.70,12.60,59.20,6690.20
New York,0.00,10.00,1.50,279.60,7.70,83.40,129.60,511.90
North Carolina,0.00,0.00,0.00,444.70,0.20,121.50,59.60,625.90
North Dakota,354.70,1401.30,2195.20,0.00,98.60,2.00,62.50,4114.40
Ohio,59.50,2462.70,126.60,175.50,89.00,44.80,20.50,2978.60
Oklahoma,0.00,3236.90,861.30,0.00,12.90,34.60,134.80,4280.60
Oregon,0.00,0.00,0.00,0.00,4.70,70.50,144.70,219.90
Pennsylvania,1042.60,7932.90,25.60,794.30,20.60,106.70,27.70,9950.50
Rhode Island,0.00,0.00,0.00,0.00,0.10,3.70,3.90,7.60
South Carolina,0.00,0.00,0.00,567.00,0.00,110.00,18.20,695.20
South Dakota,0.00,0.20,5.50,0.00,178.80,3.90,51.50,239.90
Tennessee,0.00,3.10,0.80,371.60,26.10,40.00,34.20,475.90
Texas,221.60,13334.70,10497.20,433.90,74.10,97.20,483.60,25142.40
Utah,246.10,288.30,257.20,0.00,0.00,4.20,22.70,818.50
Vermont,0.00,0.00,0.00,0.00,0.00,21.30,6.80,28.20
Virginia,279.50,93.50,0.00,294.10,0.10,117.70,23.40,808.30
Washington,0.00,0.00,0.00,102.70,18.60,100.80,299.70,521.80
West Virginia,2160.90,3492.10,86.40,0.00,0.00,10.80,12.70,5762.90
Wisconsin,0.00,0.00,0.00,105.10,75.90,88.00,17.40,286.40
Wyoming,4265.10,1171.00,516.70,0.00,18.20,5.30,37.30,6013.70
